consultation_id,fund_type_id
1,4
2,1
3,3
3,8
4,5
4,8
5,5
6,9
6,8
7,4
7,7
8,2
9,9
9,1
10,7
10,4
11,2
11,3
12,3
13,4
14,3
15,1
16,4
17,5
18,5
19,6
19,9
20,7
21,4
22,4
22,5
23,8
23,4
24,4
24,1
25,4
25,5
26,6
27,5
28,7
28,3
29,8
29,5
30,6
30,7
31,3
32,2
33,6
34,6
34,1
35,4
35,3
36,4
36,3
37,7
37,2
38,5
38,4
39,4
40,3
41,2
42,1
43,8
44,9
44,6
45,7
46,7
46,1
47,4
48,1
48,3
49,4
50,2
51,1
52,3
53,9
53,5
54,4
54,8
55,3
56,3
57,9
58,6
59,3
59,7
60,9
60,8
61,5
62,4
63,1
63,7
64,1
65,1
66,1
67,8
67,2
68,2
68,7
69,7
70,8
71,2
72,3
73,2
74,4
75,8
76,3
76,8
77,4
78,8
79,7
79,5
80,8
80,2
81,1
81,5
82,9
83,1
83,4
84,6
84,4
85,9
86,2
86,8
87,9
87,4
88,4
88,6
89,8
90,4
91,1
91,8
92,7
92,8
93,8
94,9
94,7
95,8
95,5
96,6
97,3
97,7
98,9
99,1
100,5
100,7
101,2
102,3
102,4
103,7
103,8
104,9
105,4
106,6
107,2
108,2
109,2
110,1
110,7
111,6
111,4
112,6
112,4
113,2
113,7
114,6
115,3
116,5
117,5
117,7
118,3
118,4
119,4
120,1
121,5
121,2
122,9
123,7
124,1
125,5
125,4
126,2
127,2
127,6
128,6
129,2
129,6
130,3
130,6
131,9
131,2
132,2
132,8
133,4
134,6
135,1
136,6
136,5
137,4
137,8
138,5
138,7
139,3
140,4
140,7
141,9
141,8
142,3
143,9
144,9
145,3
145,5
146,8
146,3
147,6
148,9
148,8
149,5
150,1
150,3
151,9
151,1
152,9
153,2
153,6
154,8
154,9
155,5
155,1
156,1
157,5
158,4
159,8
160,3
161,7
161,5
162,3
162,7
163,5
164,5
165,7
166,4
166,7
167,7
167,4
168,5
169,5
169,9
170,9
171,6
171,9
172,9
173,2
174,6
175,5
175,9
176,2
177,7
177,9
178,3
178,1
179,6
179,7
180,5
181,3
182,8
183,9
184,9
184,2
185,9
186,1
186,6
187,2
188,1
189,8
189,1
190,7
191,6
192,3
193,8
194,8
195,2
195,9
196,4
196,1
197,2
197,8
198,8
199,8
200,7
200,4
201,9
201,7
202,1
203,6
204,3
204,6
205,9
205,3
206,8
206,2
207,8
207,3
208,5
209,6
210,3
210,4
211,6
212,1
213,8
214,9
214,4
215,9
215,2
216,4
216,2
217,6
218,8
218,4
219,9
220,8
220,5
221,3
221,9
222,3
222,6
223,4
224,9
224,4
225,2
226,2
226,4
227,1
228,5
228,3
229,6
230,5
231,2
232,1
233,3
234,4
235,7
235,3
236,2
236,8
237,5
238,7
239,3
239,9
240,3
241,6
242,6
242,1
243,3
243,9
244,5
244,8
245,9
245,6
246,1
246,9
247,7
248,4
249,9
250,4
251,2
251,9
252,3
253,2
254,7
255,6
255,1
256,4
256,2
257,4
258,3
258,2
259,1
259,6
260,9
261,8
262,5
262,7
263,5
263,3
264,1
265,7
266,1
267,4
267,6
268,1
269,4
269,2
270,5
271,6
272,5
273,9
273,2
274,5
274,2
275,9
275,3
276,6
276,3
277,8
278,5
279,2
279,1
280,4
281,1
282,3
282,9
283,9
284,5
284,2
285,6
286,5
286,8
287,7
288,3
288,4
289,8
289,2
290,4
290,9
291,6
292,3
292,2
293,6
294,7
295,7
296,6
296,7
297,9
298,7
299,8
300,2
301,4
302,2
303,4
303,5
304,5
304,7
305,8
306,9
306,4
307,4
308,9
308,1
309,7
310,6
311,2
312,2
313,9
313,5
314,4
314,9
315,5
316,7
316,2
317,4
317,5
318,1
319,7
320,4
320,3
321,5
321,4
322,9
323,8
324,8
325,2
326,5
327,5
327,9
328,2
329,5
330,3
331,8
332,5
333,5
334,9
334,3
335,9
336,8
336,2
337,7
337,4
338,4
339,6
340,6
341,4
341,1
342,7
343,5
344,5
344,3
345,8
346,2
346,9
347,5
348,1
349,2
350,6
351,2
352,1
353,4
354,5
354,8
355,5
355,7
356,4
356,1
357,1
357,2
358,6
359,1
359,6
360,7
361,3
362,1
363,1
364,8
365,7
366,7
367,2
367,4
368,1
369,5
369,8
370,4
371,3
371,4
372,4
373,7
373,4
374,1
375,4
376,5
376,3
377,3
377,4
378,2
378,3
379,8
379,9
380,5
380,2
381,3
381,6
382,3
383,3
384,1
385,5
386,4
387,9
387,8
388,1
389,2
