consultation_id,consultant_id,customer_id,start_time,end_time,consultation_date,resolution_type,satisfaction_score
1,4,4051,2025-04-21 13:25:52,2025-04-21 14:00:52,2025-04-21,반려,4
2,4,4549,2025-03-05 14:22:44,2025-03-05 14:52:44,2025-03-05,보류,4
3,1,3667,2025-04-14 11:40:51,2025-04-14 12:05:51,2025-04-14,보류,3
4,14,1351,2025-07-03 17:04:25,2025-07-03 17:33:25,2025-07-03,완료,3
5,5,3806,2025-06-27 15:25:14,2025-06-27 15:58:14,2025-06-27,이관,3
6,15,2147,2025-03-21 14:54:34,2025-03-21 15:20:34,2025-03-21,반려,5
7,12,443,2025-01-21 16:44:12,2025-01-21 16:59:12,2025-01-21,보류,4
8,15,2505,2025-04-10 13:21:43,2025-04-10 13:29:43,2025-04-10,이관,5
9,15,965,2025-02-03 15:07:16,2025-02-03 15:18:16,2025-02-03,반려,3
10,9,1827,2025-02-28 17:36:53,2025-02-28 17:58:53,2025-02-28,반려,5
11,19,325,2025-01-29 14:41:46,2025-01-29 15:00:46,2025-01-29,반려,3
12,8,1115,2025-03-03 10:39:49,2025-03-03 10:52:49,2025-03-03,보류,5
13,3,1437,2025-04-28 13:19:16,2025-04-28 13:36:16,2025-04-28,보류,5
14,6,2709,2025-04-02 11:11:53,2025-04-02 11:17:53,2025-04-02,보류,5
15,18,1846,2025-08-15 12:10:59,2025-08-15 12:44:59,2025-08-15,이관,3
16,20,4764,2025-02-05 10:25:15,2025-02-05 10:33:15,2025-02-05,완료,4
17,5,3359,2025-03-12 15:44:33,2025-03-12 16:21:33,2025-03-12,이관,5
18,6,2565,2025-05-12 13:12:54,2025-05-12 13:24:54,2025-05-12,보류,4
19,11,2489,2025-03-14 14:06:48,2025-03-14 14:46:48,2025-03-14,완료,5
20,4,4750,2025-06-04 13:18:31,2025-06-04 14:01:31,2025-06-04,완료,3
21,7,2018,2025-03-12 14:32:57,2025-03-12 14:44:57,2025-03-12,반려,3
22,19,851,2025-07-08 16:10:01,2025-07-08 16:53:01,2025-07-08,완료,5
23,18,4532,2025-01-10 17:25:53,2025-01-10 17:35:53,2025-01-10,완료,5
24,1,4365,2025-06-19 12:53:57,2025-06-19 13:19:57,2025-06-19,반려,3
25,19,4481,2025-03-26 15:53:29,2025-03-26 16:33:29,2025-03-26,완료,5
26,5,3723,2025-02-12 15:52:44,2025-02-12 16:06:44,2025-02-12,반려,3
27,6,1051,2025-07-24 15:39:25,2025-07-24 16:11:25,2025-07-24,완료,3
28,6,473,2025-03-12 15:31:31,2025-03-12 15:50:31,2025-03-12,반려,4
29,6,4277,2025-01-08 11:10:04,2025-01-08 11:37:04,2025-01-08,완료,4
30,16,2168,2025-06-04 15:17:13,2025-06-04 15:33:13,2025-06-04,반려,4
31,12,3406,2025-08-20 11:01:02,2025-08-20 11:12:02,2025-08-20,이관,5
32,14,3041,2025-05-13 14:23:26,2025-05-13 14:43:26,2025-05-13,반려,3
33,19,3721,2025-01-08 11:41:56,2025-01-08 11:51:56,2025-01-08,반려,3
34,7,4842,2025-07-03 09:14:47,2025-07-03 09:53:47,2025-07-03,완료,4
35,3,3558,2025-08-12 11:34:58,2025-08-12 12:16:58,2025-08-12,보류,3
36,5,4448,2025-04-15 14:37:46,2025-04-15 14:49:46,2025-04-15,보류,3
